,cue,R1,frec,frec_cue,ratio,frec_R1,cue_norm,l_cue,l_r1
2179,apples,oranges,38,100,0.41304347826086957,92,0.38,6,7
2182,monastery,monk,38,98,0.23030303030303031,165,0.3877551020408163,9,4
2185,doodle,draw,38,98,0.16379310344827586,232,0.3877551020408163,6,4
2188,sentry,guard,38,81,0.23030303030303031,165,0.4691358024691358,6,5
2191,never,ever,38,100,0.296875,128,0.38,5,4
2192,got,have,38,95,0.21714285714285714,175,0.4,3,4
2193,needle,thread,38,100,0.2159090909090909,176,0.38,6,6
2196,vine,grape,38,99,0.2714285714285714,140,0.3838383838383838,4,5
2198,decade,ten,38,100,0.26573426573426573,143,0.38,6,3
2199,village,town,38,100,0.13194444444444445,288,0.38,7,4
2200,things,stuff,38,98,0.14022140221402213,271,0.3877551020408163,6,5
2208,cocoon,butterfly,38,96,0.19,200,0.3958333333333333,6,9
2212,rescue,save,38,100,0.1450381679389313,262,0.38,6,4
2230,samurai,sword,38,100,0.12666666666666668,300,0.38,7,5
2231,humiliate,embarrass,38,98,0.5,76,0.3877551020408163,9,9
2236,gamma,ray,38,96,0.4523809523809524,84,0.3958333333333333,5,3
2243,spearmint,gum,38,96,0.18269230769230768,208,0.3958333333333333,9,3
2245,spay,neuter,38,84,0.9047619047619048,42,0.4523809523809524,4,6
2248,trinity,three,38,97,0.10555555555555556,360,0.3917525773195876,7,5
2252,lost,found,38,99,0.31932773109243695,119,0.3838383838383838,4,5
2257,squish,squash,37,97,0.29838709677419356,124,0.38144329896907214,6,6
2259,godliness,cleanliness,37,93,0.4805194805194805,77,0.3978494623655914,9,11
2268,rome,italy,37,99,0.16228070175438597,228,0.37373737373737376,4,5
2270,hyphen,dash,37,94,0.6065573770491803,61,0.39361702127659576,6,4
2274,they,them,37,99,0.37,100,0.37373737373737376,4,4
2276,buyer,seller,37,99,0.3425925925925926,108,0.37373737373737376,5,6
2283,scared,frightened,37,99,0.4111111111111111,90,0.37373737373737376,6,10
2291,starting,beginning,37,100,0.1167192429022082,317,0.37,8,9
2292,brothers,sisters,37,99,0.42528735632183906,87,0.37373737373737376,8,7
2293,frying,pan,37,99,0.25874125874125875,143,0.37373737373737376,6,3
2298,islam,muslim,37,99,0.3333333333333333,111,0.37373737373737376,5,6
2299,tremble,shake,37,98,0.10277777777777777,360,0.37755102040816324,7,5
2302,chef,cook,37,98,0.10787172011661808,343,0.37755102040816324,4,4
2308,compass,direction,37,98,0.15163934426229508,244,0.37755102040816324,7,9
2309,tuesday,wednesday,37,98,0.5138888888888888,72,0.37755102040816324,7,9
2312,misuse,abuse,37,95,0.19680851063829788,188,0.3894736842105263,6,5
2313,performer,actor,37,100,0.19170984455958548,193,0.37,9,5
2319,subtract,minus,37,100,0.24025974025974026,154,0.37,8,5
2322,luster,shine,37,84,0.10946745562130178,338,0.44047619047619047,6,5
2323,subjective,objective,37,95,0.6166666666666667,60,0.3894736842105263,10,9
2326,encounter,meet,37,100,0.19576719576719576,189,0.37,9,4
2327,woodworker,carpenter,37,100,0.33035714285714285,112,0.37,10,9
2328,listening,hearing,37,100,0.2569444444444444,144,0.37,9,7
2329,jesus,christ,37,100,0.20670391061452514,179,0.37,5,6
2330,link,chain,37,100,0.1989247311827957,186,0.37,4,5
2334,slam,dunk,37,100,0.8604651162790697,43,0.37,4,4
2336,would,could,37,99,0.4567901234567901,81,0.37373737373737376,5,5
2345,alphabet,letters,37,98,0.15040650406504066,246,0.37755102040816324,8,7
2346,soviet,union,37,99,0.29133858267716534,127,0.37373737373737376,6,5
2352,nurture,nature,37,99,0.10451977401129943,354,0.37373737373737376,7,6
2356,discovered,found,37,100,0.31092436974789917,119,0.37,10,5
2357,nickel,dime,37,99,0.6379310344827587,58,0.37373737373737376,6,4
2359,sensibility,sense,37,96,0.19270833333333334,192,0.3854166666666667,11,5
2362,yearly,annual,37,98,0.6491228070175439,57,0.37755102040816324,6,6
2363,documents,papers,37,99,0.25517241379310346,145,0.37373737373737376,9,6
2364,mythology,greek,37,100,0.14741035856573706,251,0.37,9,5
2368,rabbi,jewish,37,97,0.11746031746031746,315,0.38144329896907214,5,6
2369,jogger,runner,37,99,0.2868217054263566,129,0.37373737373737376,6,6
2375,snatch,grab,37,92,0.16228070175438597,228,0.40217391304347827,6,4
2380,pepsi,cola,37,98,0.5211267605633803,71,0.37755102040816324,5,4
2384,ikea,furniture,37,97,0.18781725888324874,197,0.38144329896907214,4,9
2385,remaining,left,37,99,0.12416107382550336,298,0.37373737373737376,9,4
2391,snapshot,photo,37,100,0.16299559471365638,227,0.37,8,5
2393,feelings,emotions,37,100,0.40217391304347827,92,0.37,8,8
2398,let,allow,37,100,0.17050691244239632,217,0.37,3,5
2399,ass,donkey,37,100,0.2642857142857143,140,0.37,3,6
2400,lease,rent,37,99,0.24666666666666667,150,0.37373737373737376,5,4
2402,saturday,sunday,37,100,0.24025974025974026,154,0.37,8,6
2403,exhausting,tiring,37,99,0.39361702127659576,94,0.37373737373737376,10,6
2404,convex,concave,37,94,0.8809523809523809,42,0.39361702127659576,6,7
2405,timetable,schedule,37,100,0.3162393162393162,117,0.37,9,8
2407,itchy,scratchy,36,99,0.5806451612903226,62,0.36363636363636365,5,8
2408,shout,yell,36,96,0.11726384364820847,307,0.375,5,4
2413,tectonic,plates,36,94,0.5,72,0.3829787234042553,8,6
2414,teach,learn,36,100,0.12286689419795221,293,0.36,5,5
2419,comforter,blanket,36,98,0.13846153846153847,260,0.3673469387755102,9,7
2421,grateful,thankful,36,99,0.4,90,0.36363636363636365,8,8
2423,toxic,poison,36,100,0.10588235294117647,340,0.36,5,6
2424,servant,slave,36,99,0.20224719101123595,178,0.36363636363636365,7,5
2433,over,under,36,100,0.1254355400696864,287,0.36,4,5
2435,cola,coke,36,100,0.19889502762430938,181,0.36,4,4
2440,corridor,hallway,36,100,0.47368421052631576,76,0.36,8,7
2442,alike,similar,36,98,0.14937759336099585,241,0.3673469387755102,5,7
2443,adequate,enough,36,96,0.1592920353982301,226,0.375,8,6
2445,occurrence,happening,36,96,0.32432432432432434,111,0.375,10,9
2447,gluten,wheat,36,100,0.1276595744680851,282,0.36,6,5
2449,tidy,neat,36,98,0.17560975609756097,205,0.3673469387755102,4,4
2450,hebrew,jewish,36,98,0.11428571428571428,315,0.3673469387755102,6,6
2455,murmur,whisper,36,99,0.2727272727272727,132,0.36363636363636365,6,7
2458,tick,mock,36,100,0.41379310344827586,87,0.36,4,4
2460,iceberg,titanic,36,99,0.6101694915254238,59,0.36363636363636365,7,7
2465,trick,treat,36,100,0.42857142857142855,84,0.36,5,5
2468,knot,tie,36,100,0.10619469026548672,339,0.36,4,3
2469,pod,pea,36,97,0.4444444444444444,81,0.3711340206185567,3,3
2478,sketch,draw,36,100,0.15517241379310345,232,0.36,6,4
2486,heads,tails,36,99,0.6545454545454545,55,0.36363636363636365,5,5
2488,siesta,nap,36,96,0.375,96,0.375,6,3
2490,compare,contrast,36,96,0.4864864864864865,74,0.375,7,8
2494,lick,tongue,36,99,0.1925133689839572,187,0.36363636363636365,4,6
